"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
1,50,"False","False","False","False","True",0,"True","False","True",125,-19.99193,-44.0222277,2,266.55,500,"apartamento","False","False","diamante",695636,0,"False",10,"https://www.netimoveis.com/imovel/dummy/695636"
2,58,"False","False","False","False","False",0,"False","False","False",125,-19.872108,-43.997572,3,150,850,"apartamento","False","False","castelo",680448,1,"False",14.6551724137931,"https://www.netimoveis.com/imovel/dummy/680448"
2,58,"False","False","False","False","False",0,"False","False","False",125,-19.872108,-43.997572,3,150,850,"apartamento","False","False","paqueta",680448,1,"False",14.6551724137931,"https://www.netimoveis.com/imovel/dummy/680448"
2,60,"False","False","True","False","True",0,"True","True","True",125,-19.9632718169641,-43.9645567158692,2,652,1100,"apartamento","False","True","estoril",387140,1,"True",18.3333333333333,"https://www.netimoveis.com/imovel/dummy/387140"
1,66,"False","False","False","True","True",0,"False","False","True",125,-19.904348,-43.9800406,3,410,1300,"apartamento","False","False","caicaras",690573,1,"False",19.6969696969697,"https://www.netimoveis.com/imovel/dummy/690573"
1,66,"False","False","False","True","True",0,"False","False","True",125,-19.904348,-43.9800406,3,410,1300,"apartamento","False","False","adelaide",690573,1,"False",19.6969696969697,"https://www.netimoveis.com/imovel/dummy/690573"
1,160,"False","False","False","False","False",0,"False","False","False",125,-19.9387037,-43.9801783,3,250,1500,"cobertura","False","False","jardim-america",372313,1,"False",9.375,"https://www.netimoveis.com/imovel/dummy/372313"
1,160,"False","False","False","False","False",0,"False","False","False",125,-19.9387037,-43.9801783,3,250,1500,"cobertura","False","False","nova-suissa",372313,1,"False",9.375,"https://www.netimoveis.com/imovel/dummy/372313"
2,92,"False","False","False","False","False",430000,"False","False","False",125,-19.9696703504802,-43.9698464539673,3,275,1900,"apartamento","False","False","buritis",621877,1,"False",20.6521739130435,"https://www.netimoveis.com/imovel/dummy/621877"
2,140,"False","False","False","False","True",0,"False","False","False",125,-19.9357222,-43.9564155,4,400,2100,"apartamento","False","False","santo-agostinho",619745,1,"False",15,"https://www.netimoveis.com/imovel/dummy/619745"
2,140,"False","False","False","False","True",0,"False","False","False",125,-19.9357222,-43.9564155,4,400,2100,"apartamento","False","False","gutierrez",619745,1,"False",15,"https://www.netimoveis.com/imovel/dummy/619745"
2,65,"False","False","False","False","False",0,"True","True","True",125,-19.968533,-43.966685,2,650,2300,"apartamento","True","True","buritis",677856,1,"True",35.3846153846154,"https://www.netimoveis.com/imovel/dummy/677856"
2,150,"False","False","False","False","False",0,"False","False","False",125,-19.940388,-43.9256403,4,427.15,2950,"apartamento","False","False","serra",673981,1,"False",19.6666666666667,"https://www.netimoveis.com/imovel/dummy/673981"
2,70,"False","False","True","False","True",250000,"True","True","True",122.5,-19.9632718169641,-43.9646854619019,2,522,1100,"apartamento","False","True","estoril",686999,1,"True",15.7142857142857,"https://www.netimoveis.com/imovel/dummy/686999"
0,60,"False","False","False","False","False",0,"False","False","False",122.14,-19.986481,-44.024596,2,40,680,"apartamento","False","False","barreiro",672731,0,"False",11.3333333333333,"https://www.netimoveis.com/imovel/dummy/672731"
0,60,"False","False","False","False","False",0,"False","False","False",122.14,-19.986481,-44.024596,2,40,680,"apartamento","False","False","diamante",672731,0,"False",11.3333333333333,"https://www.netimoveis.com/imovel/dummy/672731"
1,60,"False","False","True","True","True",0,"True","True","True",122.14,-19.9631911436776,-43.9645567158692,2,621,800,"apartamento","False","True","estoril",678810,1,"True",13.3333333333333,"https://www.netimoveis.com/imovel/dummy/678810"
